"measure_number","measure","financial_year","quarter","year_month","ethnicity","district","region","age","measure_type","value"
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Counties Manukau","Northern",NA,"Percent",0.956043956043956
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Hawke's Bay","Central",NA,"Percent",0.866666666666667
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Hutt Valley","Central",NA,"Percent",0.925925925925926
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Lakes","Te Manawa Taki",NA,"Percent",0.939393939393939
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","MidCentral","Central",NA,"Percent",1
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Nelson Marlborough","Te Waipounamu",NA,"Percent",1
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Northland","Northern",NA,"Percent",0.75
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","South Canterbury","Te Waipounamu",NA,"Percent",1
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Southern","Te Waipounamu",NA,"Percent",0.75
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Tairāwhiti","Te Manawa Taki",NA,"Percent",1
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Taranaki","Te Manawa Taki",NA,"Percent",0.636363636363636
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Waikato","Te Manawa Taki",NA,"Percent",0.848101265822785
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Wairarapa","Central",NA,"Percent",1
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Waitematā","Northern",NA,"Percent",0.942857142857143
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","West Coast","Te Waipounamu",NA,"Percent",0.75
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Whanganui","Central",NA,"Percent",0.909090909090909
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","National","National",NA,"Percent",0.895575221238938
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Auckland","Northern",NA,"Percent",0.862068965517241
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Bay of Plenty","Te Manawa Taki",NA,"Percent",0.861538461538462
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Canterbury","Te Waipounamu",NA,"Percent",0.962962962962963
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Capital & Coast","Central",NA,"Percent",0.909090909090909
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Counties Manukau","Northern",NA,"Percent",0.88135593220339
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Hawke's Bay","Central",NA,"Percent",0.96969696969697
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Hutt Valley","Central",NA,"Percent",0.941176470588235
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Lakes","Te Manawa Taki",NA,"Percent",0.96
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","MidCentral","Central",NA,"Percent",0.875
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Nelson Marlborough","Te Waipounamu",NA,"Percent",0.8
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Northland","Northern",NA,"Percent",0.8
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","South Canterbury","Te Waipounamu",NA,"Percent",0.666666666666667
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Southern","Te Waipounamu",NA,"Percent",0.866666666666667
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Tairāwhiti","Te Manawa Taki",NA,"Percent",0.791666666666667
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Taranaki","Te Manawa Taki",NA,"Percent",0.916666666666667
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Waikato","Te Manawa Taki",NA,"Percent",0.914285714285714
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Wairarapa","Central",NA,"Percent",0.833333333333333
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Waitematā","Northern",NA,"Percent",0.928571428571429
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","West Coast","Te Waipounamu",NA,"Percent",1
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","Whanganui","Central",NA,"Percent",0.894736842105263
"1.2.1","FCT 31 days","2018/19","Dec","2018-12","Māori ","National","National",NA,"Percent",0.886323268206039
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Auckland","Northern",NA,"Percent",0.75
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Bay of Plenty","Te Manawa Taki",NA,"Percent",0.897959183673469
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Canterbury","Te Waipounamu",NA,"Percent",0.944444444444444
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Capital & Coast","Central",NA,"Percent",0.9375
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Counties Manukau","Northern",NA,"Percent",0.790322580645161
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Hawke's Bay","Central",NA,"Percent",0.896551724137931
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Hutt Valley","Central",NA,"Percent",0.875
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Lakes","Te Manawa Taki",NA,"Percent",1
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","MidCentral","Central",NA,"Percent",0.866666666666667
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Nelson Marlborough","Te Waipounamu",NA,"Percent",0.888888888888889
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Northland","Northern",NA,"Percent",0.792452830188679
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","South Canterbury","Te Waipounamu",NA,"Percent",1
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Southern","Te Waipounamu",NA,"Percent",0.75
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Tairāwhiti","Te Manawa Taki",NA,"Percent",0.947368421052632
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Taranaki","Te Manawa Taki",NA,"Percent",1
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Waikato","Te Manawa Taki",NA,"Percent",0.783783783783784
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Wairarapa","Central",NA,"Percent",1
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Waitematā","Northern",NA,"Percent",0.846153846153846
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","West Coast","Te Waipounamu",NA,"Percent",1
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","Whanganui","Central",NA,"Percent",0.8
"1.2.1","FCT 31 days","2018/19","Mar","2019-03","Māori ","National","National",NA,"Percent",0.852226720647773
